,0
364,1398073.7775763562
365,1398876.9690665968
366,1399908.8635275394
367,1407018.960534835
368,1402254.0431820552
369,1380270.1098261585
370,1381066.753493269
371,1361020.4637196714
372,1370395.7831983059
373,1364228.3616020987
374,1332057.0000670566
375,1319454.5550495156
376,1313709.3148913512
377,1307664.7431580992
378,1316784.082708751
379,1355011.238529326
380,1366280.9305115668
381,1380615.8872567255
382,1380202.8638668493
383,1403986.8467898644
384,1402377.8230079794
385,1413536.022904617
386,1383995.418876908
387,1385462.8939081614
388,1406037.7534802672
389,1392455.2136455553
390,1418154.2064948264
391,1432876.0508464864
392,1444564.7500129635
393,1441797.6549275056
394,1436505.566090004
395,1448235.1698789287
396,1443927.682736101
397,1472421.2462406554
398,1454873.1775955083
399,1462780.3228163933
400,1463201.6657102746
401,1460661.350032525
402,1468548.3772316966
403,1458660.3589808429
404,1418932.8566761015
405,1413647.7634510205
406,1409541.4994370895
407,1407255.880803299
408,1420136.6802102542
409,1421484.683461212
410,1395767.3887870861
411,1391168.639336687
412,1387237.3064327897
413,1366370.1238056696
414,1369882.2632673394
415,1360129.001938186
416,1372635.4072332692
417,1350538.947152858
418,1347059.8213747628
419,1385562.388988811
420,1394860.1940843372
421,1426024.9797788984
422,1406566.91510088
423,1418767.1072398499
424,1428096.5290287808
425,1436376.3127259603
426,1458385.6463018828
427,1453942.4071793752
428,1453297.207277245
429,1457380.205469699
430,1459451.6852186355
431,1477513.4629570162
432,1473199.2031659938
433,1465151.3159329523
434,1447458.019745363
435,1474236.043124787
436,1463091.6881502818
437,1467447.501866672
438,1459853.1442273073
439,1456656.2470791077
440,1469148.7645364394
441,1458560.8392307183
442,1489275.209527295
443,1501797.9826837187
444,1499639.332410112
445,1509440.2427886692
446,1506425.133778308
447,1512161.7845483313
448,1517612.2436218474
449,1503231.6843348113
450,1499749.3863296744
451,1515655.4759073986
452,1507269.3177226263
453,1526235.2035007528
454,1536870.4759058764
455,1530161.7898344924
456,1536670.6442693141
